
2024/12/27 (21:53:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (20:14:28) | ===> btop++ v.1.4.0
2025/01/02 (20:14:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (23:03:38) | ===> btop++ v.1.4.0
2025/01/04 (23:03:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (18:37:41) | ===> btop++ v.1.4.0
2025/01/08 (18:37:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (22:29:19) | ===> btop++ v.1.4.0
2025/01/13 (22:29:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (23:13:21) | ===> btop++ v.1.4.0
2025/01/13 (23:13:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (23:18:25) | ===> btop++ v.1.4.0
2025/01/13 (23:18:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (00:28:30) | ===> btop++ v.1.4.0
2025/01/14 (00:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (00:32:45) | ===> btop++ v.1.4.0
2025/01/14 (00:32:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (02:29:58) | ===> btop++ v.1.4.0
2025/01/13 (02:29:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (18:23:47) | ===> btop++ v.1.4.0
2025/02/09 (18:23:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (17:57:36) | ===> btop++ v.1.4.0
2025/02/14 (17:57:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (11:25:03) | ===> btop++ v.1.4.0
2025/02/19 (11:25:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:00:55) | ===> btop++ v.1.4.0
2025/02/20 (14:00:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:26:33) | ===> btop++ v.1.4.0
2025/02/20 (14:26:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:44:53) | ===> btop++ v.1.4.0
2025/02/20 (14:44:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (23:25:52) | ===> btop++ v.1.4.0
2025/02/20 (23:25:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (01:01:06) | ===> btop++ v.1.4.0
